Location,Latitude,Longitude,Microplastic_Size_mm,Shape,Density,Polymer_Type,pH,Salinity,MP_Count_per_L,Industrial_Activity,Population_Density,Risk_Type,Risk_Level,Risk_Score,Author
Abudefduf vaigiensis (Maypangdan),11.6025,125.435,0.03,Other Shape,Moderate,Secondary Plastic,7.8,30 PSU,1 MP/specimen,Low,Moderate,Biological (Food Chain),Moderate,4,A.V.G. Nibalvos et al.
Dascyllus trimaculatus (Tabunan),11.6102,125.4284,0.03,Other Shape,Moderate,Secondary Plastic,7.9,31 PSU,1 MP/specimen,Low,Moderate,Biological,Moderate,4,A.V.G. Nibalvos et al.
Katsuwonus pelamis (Offshore),11.5,125.5,0.03,Other Shape,Moderate,Secondary Plastic,8,33 PSU,1 MP/specimen,Low,Low,Ecological,Low,3,A.V.G. Nibalvos et al.
Neoglyphidodon nigroris (Tabunan),11.6102,125.4284,0.03,Filament (Microfiber),Moderate,Polyester/Nylon (Inferred),7.9,31 PSU,1 MP/specimen,Low,Moderate,Biological,Moderate,4,A.V.G. Nibalvos et al.
Paracirrhites forsteri (Maypangdan),11.6025,125.435,0.03,Other Shape,Moderate,Secondary Plastic,7.8,30 PSU,1 MP/specimen,Low,Moderate,Ecological,Low,3,A.V.G. Nibalvos et al.
Onshore Aggregate (Maypangdan + Tabunan),11.606,125.432,0.03,Fragments & Fibers,Moderate,Mixed Synthetic,7.8,30.5 PSU,0.16 avg,Low,Moderate,Ecological,Moderate,3,A.V.G. Nibalvos et al.
Offshore Aggregate (Eastern Samar Coast),11.5,125.5,0.03,Fragments,Moderate,Secondary Plastic,8,33 PSU,0.16 avg,Low,Low,Ecological,Low,2,A.V.G. Nibalvos et al.
Borongan City (General Environment),11.608,125.435,<0.05,"Mixed (Fragments, Fibers)",Moderate,Secondary Plastic,7.8,30.5 PSU,0.16 avg,Low,Moderate,Ecological & Food Safety,Moderate,3,A.V.G. Nibalvos et al.
"Inner Bay, Bacoor Bay",14.4755,120.9479,0.01–0.05,"47% Fragments, 38% Fibers, 15% Pellets",Moderate,"Polypropylene, Polyethylene (Inferred)",8.1,32 PSU,0.41 particle/g (?0.4/L),"High (Urban Proximity, Aquaculture)",High,Ecological & Food Safety,Moderate,4,Bilugan et al.
"Middle Bay, Bacoor Bay",14.4804,120.9313,0.01–0.05,"61% Fibers, 23% Fragments, 16% Pellets",Moderate,"Polypropylene, Polyester (Inferred)",8,32 PSU,0.40 particle/g (?0.4/L),Moderate (Fishing & Domestic Waste),High,Ecological,Moderate,4,Bilugan et al.
"Outer Bay, Bacoor Bay",14.4865,120.9497,0.01–0.05,"73% Fibers, 18% Pellets, 9% Fragments",Low,Polyethylene (Inferred),8.1,33 PSU,0.27 particle/g (?0.3/L),Low (Marine Zone),Moderate,Ecological,Low,2,Bilugan et al.
Bacoor Bay Composite Mean,14.4808,120.943,0.01–0.05,Fibers & Fragments,Moderate,Mixed Synthetic,8.1,32.5 PSU,0.36 avg particle/g,Moderate,High,Ecological,Moderate,3,Bilugan et al.
Mussel Habitat Zone A (Nearshore),14.475,120.945,0.03,Fiber,Moderate,Polypropylene Rope Source,8.1,32 PSU,0.41,High,High,Ecological,Moderate,4,Bilugan et al.
Mussel Habitat Zone B (Midbay),14.48,120.94,0.03,Fiber + Fragment,Moderate,Nylon/Polyester,8,32 PSU,0.4,Moderate,High,Biological (Food Chain),Moderate,4,Bilugan et al.
Mussel Habitat Zone C (Offshore),14.486,120.95,0.03,Fiber,Low,Polyethylene,8.1,33 PSU,0.27,Low,Moderate,Ecological,Low,2,Bilugan et al.
Inner Bay (Red MPs),14.4755,120.9479,0.02,Fragment,Moderate,Polypropylene,8.1,32 PSU,0.41,High,High,Ecological,Moderate,4,Bilugan et al.
Middle Bay (Blue MPs),14.4804,120.9313,0.02,Fiber,Moderate,Nylon,8,32 PSU,0.4,Moderate,High,Biological,Moderate,4,Bilugan et al.
Outer Bay (Black/Brown MPs),14.4865,120.9497,0.02,Fiber,Low,Polyethylene,8.1,33 PSU,0.27,Low,Moderate,Ecological,Low,2,Bilugan et al.
Sabang Beach,10.2003,118.9051,0.3,Fragment,Moderate,"Polypropylene (PP), Polyethylene (PE)",8.1,32 PSU,320 items/kg sand (?0.32/L),Low (Tourism-related),Low,Ecological,Moderate,3,Martinez et al.
Honda Bay,9.814,118.7689,0.25,Fiber,High,"Nylon, Polyester",8,33 PSU,460 items/kg sand (?0.46/L),"High (Fisheries, Aquaculture)",High,Ecological,High,5,Martinez et al.
Pristine Beach,9.7482,118.7485,0.2,Fragment,Moderate,Polyethylene,8.1,32 PSU,280 items/kg (?0.28/L),Moderate (Tourism),Moderate,Ecological,Moderate,3,Martinez et al.
Hartman Beach,9.7431,118.7334,0.15,Fiber,Moderate,Polypropylene,8,32 PSU,350 items/kg (?0.35/L),Moderate,Moderate,Ecological,Moderate,3,Martinez et al.
Tagkawayan Beach,9.6956,118.7549,0.18,Film,Moderate,Polyethylene Terephthalate (PET),8.1,32 PSU,240 items/kg (?0.24/L),Moderate (Fishing Area),Low,Ecological,Moderate,3,Martinez et al.
Bucana Beach,9.684,118.7461,0.25,Fiber,High,Nylon,8,33 PSU,420 items/kg (?0.42/L),"High (Fishing, Urban Runoff)",High,Ecological,High,5,Martinez et al.
BM Beach,9.7485,118.7312,0.22,Fragment,Moderate,Polypropylene,8.1,32 PSU,310 items/kg (?0.31/L),Moderate (Tourism),Moderate,Ecological,Moderate,3,Martinez et al.
Tagburos Beach,9.8357,118.7523,0.28,Pellet,Moderate,Polyethylene,8.1,32 PSU,290 items/kg (?0.29/L),Moderate (Coastal Settlement),Moderate,Ecological,Moderate,3,Martinez et al.
Bancao-Bancao Beach,9.7343,118.7319,0.27,Film,Moderate,"PET, Polypropylene",8,32 PSU,330 items/kg (?0.33/L),Moderate,High,Ecological,Moderate,3,Martinez et al.
Sta. Lourdes Beach,9.831,118.7554,0.23,Fragment,High,Polyethylene,8.1,33 PSU,400 items/kg (?0.40/L),High (Aquaculture and Human Waste),High,Ecological,High,5,Martinez et al.
Brooke’s Point Coastal Waters (Station 1),8.7781,117.8393,0.33,Fragment,Moderate,"Polypropylene (PP), Polyethylene (PE)",8,33 PSU,0.35,"Moderate (Fishing, Port)",Moderate,Ecological,Moderate,3,Buhawe et al.
Brooke’s Point Coastal Waters (Station 2),8.7765,117.8442,0.29,Fiber,Moderate,"Nylon, Polyester",8.1,33 PSU,0.32,Moderate (Aquaculture),Moderate,Ecological,Moderate,3,Buhawe et al.
Brooke’s Point Coastal Waters (Station 3),8.7724,117.8501,0.28,Fragment,Low,Polyethylene,8.1,34 PSU,0.28,Low (Residential Area),Low,Ecological,Low,2,Buhawe et al.
Brooke’s Point Coastal Waters (Station 4),8.7693,117.8542,0.31,Fiber,Moderate,Nylon,8,33 PSU,0.34,Moderate,Moderate,Ecological,Moderate,3,Buhawe et al.
Brooke’s Point Coastal Waters (Station 5),8.7659,117.8604,0.27,Film,Moderate,Polyethylene Terephthalate (PET),8.1,33 PSU,0.3,Moderate,Moderate,Ecological,Moderate,3,Buhawe et al.
Brooke’s Point Coastal Waters (Station 6),8.7633,117.8652,0.25,Pellet,High,Polypropylene,8,34 PSU,0.38,High (Near Harbor),High,Ecological,High,5,Buhawe et al.
Brooke’s Point Coastal Waters (Station 7),8.761,117.8705,0.32,Fragment,Moderate,Polyethylene,8.1,33 PSU,0.36,Moderate,Moderate,Ecological,Moderate,3,Buhawe et al.
Brooke’s Point Coastal Waters (Station 8),8.7574,117.8748,0.24,Fiber,Low,Polyester,8,33 PSU,0.27,Low,Low,Ecological,Low,2,Buhawe et al.
Brooke’s Point Coastal Waters (Station 9),8.7548,117.878,0.3,Fragment,Moderate,Polyethylene,8.1,33 PSU,0.34,Moderate,Moderate,Ecological,Moderate,3,Buhawe et al.
Brooke’s Point Coastal Waters (Station 10),8.7521,117.8824,0.26,Film,High,PET,8.1,34 PSU,0.39,High (Urban & Port Activity),High,Ecological,High,5,Buhawe et al.
Baler - Brgy. Reserva (Freshwater Fishpond),15.7583,121.5625,0.3–5.0,Irregular,0.87 g/cm³,"Rayon, PE, PP",7.2,0.5 PSU,58.67,Aquaculture (Fishponds),Medium,Ecological,Moderate,65,Hapal et al.
Baler - Brgy. Zabali (Marine Cage),15.7583,121.5625,0.3–5.0,Irregular,0.98 g/cm³,"PP, Nylon",8,32 PSU,69.5,Mariculture (Fishing Port),Medium,Ecological,High,78,Hapal et al.
Baler - Freshwater Sediment,15.7583,121.5625,0.5–5.0,Fragment,1.00 g/cm³,PE,7.3,0.4 PSU,51.92,Agricultural Runoff,Medium,Ecological,Moderate,63,Hapal et al.
Baler - Marine Sediment,15.7583,121.5625,0.5–5.0,Fragment,1.01 g/cm³,PP,8.1,33 PSU,51.67,Tourism & Fishing,Medium,Ecological,Moderate,64,Hapal et al.
Baler - Freshwater Fish (Tilapia),15.7583,121.5625,0.3–2.0,"Irregular, Rounded",0.95 g/cm³,"Rayon, PE",7.2,0.6 PSU,108.17 (pc?¹ ? 0.108/L),Aquaculture Feed,Medium,Biological,High,75,Hapal et al.
Baler - Marine Fish (Milkfish),15.7583,121.5625,0.3–2.0,"Irregular, Elongated",0.94 g/cm³,"PP, Nylon",8,32 PSU,168 (pc?¹ ? 0.168/L),Fishing Activities,Medium,Biological,High,82,Hapal et al.
Baler - Freshwater Water Column,15.7583,121.5625,0.5–3.0,Fragment,0.87 g/cm³,Rayon,7.3,0.5 PSU,7.6,Domestic Waste,Medium,Ecological,Moderate,61,Hapal et al.
Baler - Marine Water Column,15.7583,121.5625,0.5–3.0,Fiber,0.98 g/cm³,PP,8.1,32 PSU,12.2,Port & Fishing Waste,Medium,Ecological,High,72,Hapal et al.
Baler - Freshwater Surroundings,15.7583,121.5625,0.5–5.0,Fragment,0.90 g/cm³,PE,7,0.3 PSU,9.28,Domestic Runoff,High,Ecological,Moderate,68,Hapal et al.
Baler - Marine Site (Overall Mean),15.7583,121.5625,0.3–5.0,"Fiber, Fragment",0.96 g/cm³,"PP, Nylon",8,32 PSU,69.5,Aquaculture & Tourism,Medium,Ecological,High,80,Hapal et al.
"Brgy. Napindan, Taguig City",14.4475,121.3347,1.8,Round,0.93–1.00,"Polyethylene, Polypropylene",7.2,Low (Freshwater),0.004,"Urban, Fishing, Light Industry",High,Ecological,Moderate,0.55,C. C. Deocaris et al.
"Brgy. San Isidro, Tanay, Rizal",14.5913,121.5622,1.68,Round,0.93–1.00,"Polyethylene, Nylon, PET",7.1,Low,0.006,Agricultural + Urban fringe,Medium,Ecological,High,0.7,C. C. Deocaris et al.
"Brgy. Sampiruhan, Calamba, Laguna",14.52,121.8886,1.39,Angular,<0.93–>1.00,"Polyethylene, Polypropylene, Polystyrene",7,Low,0.015,Agricultural + Industrial,High,Ecological,Very High,0.9,C. C. Deocaris et al.
Laguna de Bay (General Avg.),14.52,121.6,1.62,Mixed,0.93–1.00,"Polyethylene, Polypropylene",7.1,Low,0.008,Mixed Urban-Industrial,High,Ecological,High,0.75,C. C. Deocaris et al.
Napindan (Dry Season Inflow Zone),14.4475,121.3347,2,Round,0.95,Polypropylene,7.3,Low,0.003,Urban Drainage,High,Ecological,Moderate,0.5,C. C. Deocaris et al.
Sampiruhan (Near Fish Pens),14.52,121.8886,1.2,Angular,0.9,"LDPE, PP",7,Low,0.018,Aquaculture,High,Ecological,Very High,0.92,C. C. Deocaris et al.
San Isidro (River Outflow Area),14.5913,121.5622,1.7,Sub-round,0.97,"Nylon, PET",7.1,Low,0.007,Agricultural,Medium,Ecological,High,0.72,C. C. Deocaris et al.
Central Lake Zone (Average Mix),14.55,121.6,1.5,Sub-angular,0.95,"PE, PP, PVC",7.1,Low,0.01,Mixed Uses,High,Ecological,High,0.78,C. C. Deocaris et al.
Western Shoreline (Urban Edge),14.45,121.33,1.85,Round,1,"HDPE, PP",7.2,Low,0.005,Urban Runoff,Very High,Ecological,Moderate,0.6,C. C. Deocaris et al.
Southern Shoreline (Industrial Zone),14.52,121.88,1.3,Angular,0.93,"PE, PS",7,Low,0.016,Industrial Effluent,Very High,Ecological,Very High,0.95,C. C. Deocaris et al.
"Brgy. Lapu-lapu, Agdao, Davao City",7.0731,125.6131,1,Soft Film,0.90–0.95,Polyethylene (PE),8.1,32 PSU,0.0001,"Urban, Port, Residential",Very High,Ecological,High,0.8,N. A. S. Abreo et al.
"Davao Gulf (near shore, Agdao)",7.05,125.65,2,Flexible Sheet,0.93,Polypropylene (PP),8.1,33 PSU,0.0002,Coastal Urbanization,High,Ecological,High,0.78,N. A. S. Abreo et al.
Davao Gulf (mid-depth),7.1,125.7,1.5,Film-like,0.95,"Polyethylene, Mixed Plastics",8,33 PSU,0.00015,"Shipping, Fisheries",Medium,Ecological,Moderate,0.65,N. A. S. Abreo et al.
Brgy. Lapu-lapu Coastline,7.0731,125.6131,1.2,Soft,0.93,Polyethylene (PE),8.2,32 PSU,0.00018,Port Waste Discharge,Very High,Ecological,High,0.85,N. A. S. Abreo et al.
Davao Gulf (urban bay area),7.09,125.62,1,Fragmented,0.9,"Mixed (PE, PP)",8.1,32 PSU,0.0002,Industrial Discharge,Very High,Ecological,Very High,0.92,N. A. S. Abreo et al.
Davao Gulf (turtle feeding ground),7.08,125.64,1.8,Soft & Transparent,0.93,Polyethylene,8.1,33 PSU,0.00017,Marine Debris Overlap,Medium,Ecological,High,0.77,N. A. S. Abreo et al.
Davao Gulf (near D’Bone Collector site),7.075,125.615,1.3,Flexible Film,0.94,"Polyethylene, Polypropylene",8.1,33 PSU,0.00015,Urban,High,Ecological,High,0.75,N. A. S. Abreo et al.
Davao Gulf (inner bay),7.1,125.68,1.5,"Film, Multicolored",0.92,Mixed Polymers,8,33 PSU,0.00012,Urban + Industrial,High,Ecological,High,0.8,N. A. S. Abreo et al.
Davao Gulf (outer bay),7.12,125.7,1.7,Sheet,0.93,"Polyethylene, Polypropylene",8,34 PSU,0.0001,Shipping Activity,Medium,Ecological,Moderate,0.68,N. A. S. Abreo et al.
Davao Gulf (turtle habitat area),7.085,125.625,1.6,Soft Plastic,0.93,"Polyethylene, Mixed",8.1,33 PSU,0.00016,"Fishing, Tourism",High,Ecological,High,0.82,N. A. S. Abreo et al.
"Bohol Marine Triangle, Bohol",9.85,124.25,1.5,Fragmented,0.92,Polyethylene (PE),8.1,34 PSU,0.0008,"Coastal Fishing, Tourism",Medium,Ecological,High,0.8,M.S. Bayani & R.M.B. Corpus
"Manila Bay, Metro Manila",14.6,120.95,2,Film,0.95,Polypropylene (PP),8,33 PSU,0.002,"Urban, Industrial Waste",Very High,Ecological,Very High,0.95,M.S. Bayani & R.M.B. Corpus
"Batangas Bay, Batangas",13.75,121.05,1.8,Fragment,0.94,"Polyethylene, PET",8,34 PSU,0.0015,"Port, Shipping",High,Ecological,High,0.88,M.S. Bayani & R.M.B. Corpus
"Cebu Strait, Central Visayas",10.3,123.9,1.2,Film,0.93,Polyethylene,8.2,33 PSU,0.0009,"Tourism, Urban Waste",High,Ecological,High,0.85,M.S. Bayani & R.M.B. Corpus
"Davao Gulf, Mindanao",7.05,125.65,1.7,Soft Film,0.9,"Polyethylene, Polypropylene",8.1,33 PSU,0.001,"Urban, Port Waste",Very High,Ecological,High,0.9,M.S. Bayani & R.M.B. Corpus
Palawan Coastal Waters,9.75,118.75,1,Film,0.91,Polyethylene,8.2,34 PSU,0.0007,"Tourism, Fisheries",Low,Ecological,Moderate,0.6,M.S. Bayani & R.M.B. Corpus
"Lingayen Gulf, Pangasinan",16.15,120.25,1.8,Fragment,0.94,Mixed Polymers,8,33 PSU,0.0012,Agriculture Runoff,Medium,Ecological,High,0.82,M.S. Bayani & R.M.B. Corpus
"Iligan Bay, Northern Mindanao",8.25,124.25,2.2,Hard Fragment,1,"PET, PVC",8.1,33 PSU,0.0018,"Industrial, Urban",High,Ecological,Very High,0.93,M.S. Bayani & R.M.B. Corpus
"Samar Sea, Eastern Visayas",11.9,124.65,1.5,Film,0.92,Polypropylene,8,34 PSU,0.001,"Fishing, Rural",Medium,Ecological,Moderate,0.7,M.S. Bayani & R.M.B. Corpus
"Sulu Sea, Western Mindanao",8.5,121.25,1.3,Soft,0.9,Polyethylene,8.1,34 PSU,0.0008,"Fishing, Coastal",Low,Ecological,Moderate,0.68,M.S. Bayani & R.M.B. Corpus
Pantar Bridge (Upstream),8.0559,124.2676,0.25–5.0,"Filament, Film, Fragment, Fiber",0.53 MP/m³ ? 0.00053 MP/L,"Bemberg, Tencel, PE, PP, PA, Poly(Diallyl Phthalate)",7.2*,0.10 PSU*,0.00053,Low industrial (rural),Medium,Ecological,High,0.85,Segovia et al. (2025)
Balo-i–Matungao Bridge (Midstream),8.1107,124.2201,0.25–5.0,"Filament, Film, Fiber, Fragment",0.42 MP/m³ ? 0.00042 MP/L,"Tencel, PP, PE, Polyurethane, Polyacrylamide, PET, Bemberg, HDPE",7.3*,0.12 PSU*,0.00042,Moderate industrial (agricultural runoff),Medium,Ecological,Moderate,0.6,Segovia et al. (2025)
Agus Bridge (Downstream),8.1958,124.1894,0.25–5.0,"Fiber, Filament, Fragment, Granule",0.45 MP/m³ ? 0.00045 MP/L,"PET, PA, Bemberg, Tencel, PP, Polyester, HDPE, Polyurethane, Epoxy Resin",7.5*,0.15 PSU*,0.00045,"High industrial (urban inflow, Iligan)",High,Ecological,High,0.9,Segovia et al. (2025)
Pantar Bridge Replicate A,8.0559,124.2676,1.0–3.0,Filament,0.00053,Bemberg,7.1*,0.09 PSU*,0.00053,Low,Medium,Ecological,Moderate,0.7,Segovia et al. (2025)
Pantar Bridge Replicate B,8.0559,124.2676,0.25–1.0,Film,0.00053,PE,7.3*,0.10 PSU*,0.00053,Low,Medium,Ecological,High,0.8,Segovia et al. (2025)
Midstream Replicate A,8.1107,124.2201,0.5–2.0,Fiber,0.00042,Tencel,7.2*,0.12 PSU*,0.00042,Agricultural,Medium,Ecological,Moderate,0.65,Segovia et al. (2025)
Midstream Replicate B,8.1107,124.2201,0.25–1.0,Fragment,0.00042,PP,7.4*,0.12 PSU*,0.00042,Agricultural,Medium,Ecological,Moderate,0.55,Segovia et al. (2025)
Downstream Replicate A,8.1958,124.1894,0.5–2.0,Fiber,0.00045,PET,7.5*,0.15 PSU*,0.00045,Urban,High,Ecological,High,0.9,Segovia et al. (2025)
Downstream Replicate B,8.1958,124.1894,0.25–1.0,Fragment,0.00045,Polyester,7.6*,0.15 PSU*,0.00045,Urban,High,Ecological,High,0.88,Segovia et al. (2025)
Agus River (Average of Sites),8.12,124.22,0.25–5.0,"Filament, Fiber, Fragment",0.46 MP/m³ ? 0.00046 MP/L,"Mixed (PET, PP, PE, Bemberg, Tencel, PA, HDPE)",7.3*,0.12 PSU*,0.00046,Mixed (rural–urban gradient),Mixed,Ecological,High,0.78,Segovia et al. (2025)
Tañon Strait – Bais Bay (Negros Oriental),9.52,123.12,0.4,Fiber,1.14,"Nylon, Polyester",8,33 PSU,0.014,"Fishing, Urban Waste",High,Ecological,High,0.83,L. S. Villanueva et al.
Tañon Strait – Manjuyod,9.65,123.18,0.35,Fragment,0.95,Polyethylene (PE),8.1,34 PSU,0.01,"Tourism, Coastal",Medium,Ecological,Moderate,0.7,L. S. Villanueva et al.
Tañon Strait – Ayungon,9.85,123.1,0.42,Film,0.93,Polypropylene (PP),8,34 PSU,0.012,"Fishing, Urban",Medium,Ecological,High,0.78,L. S. Villanueva et al.
Tañon Strait – Bindoy,9.77,123.1,0.38,Fiber,1.12,Nylon,8.1,34 PSU,0.013,Coastal Agriculture,Medium,Ecological,High,0.8,L. S. Villanueva et al.
Tañon Strait – Jimalalud,9.93,123.09,0.5,Fragment,0.94,Polyethylene,8,34 PSU,0.011,"Urban, Light Industry",High,Ecological,High,0.82,L. S. Villanueva et al.
Tañon Strait – La Libertad,10.05,123.11,0.46,Film,0.92,Polypropylene,8.1,33 PSU,0.015,Marine Transport,High,Ecological,Very High,0.9,L. S. Villanueva et al.
Tañon Strait – Guihulngan,10.13,123.12,0.48,Fragment,0.95,"Polyethylene, PET",8,33 PSU,0.017,"Urban Waste, Port",Very High,Ecological,Very High,0.94,L. S. Villanueva et al.
Tañon Strait – Vallehermoso,10.28,123.2,0.41,Fiber,1.1,Nylon,8,33 PSU,0.012,"Rural, Fishing",Medium,Ecological,Moderate,0.72,L. S. Villanueva et al.
Tañon Strait – San Carlos (Negros Occidental),10.48,123.4,0.55,Fragment,0.94,Polyethylene,8.1,34 PSU,0.018,"Industrial, Port",Very High,Ecological,Very High,0.95,L. S. Villanueva et al.
Tañon Strait – Escalante,10.63,123.5,0.52,Film,0.93,Polypropylene,8.1,34 PSU,0.016,"Industrial, Coastal Urban",High,Ecological,Very High,0.91,L. S. Villanueva et al.
Batangas Bay – Station 1 (Calicanto),13.75,121.05,0.5,Fiber,1.14,"Nylon, Polyester",8,34 PSU,0.013,"Port, Shipping",High,Ecological,High,0.82,M. D. D. Rodriguez et al.
Batangas Bay – Station 2 (Sta. Clara),13.76,121.04,0.43,Fragment,0.95,Polyethylene (PE),8,34 PSU,0.01,"Industrial, Petrochemical",Very High,Ecological,Very High,0.91,M. D. D. Rodriguez et al.
Batangas Bay – Station 3 (Sta. Rita Aplaya),13.74,121.05,0.47,Film,0.93,Polypropylene (PP),8.1,33 PSU,0.008,Urban Coastal,High,Ecological,High,0.8,M. D. D. Rodriguez et al.
Batangas Bay – Station 4 (Tabangao),13.73,121.07,0.4,Fiber,1.14,Nylon,8,34 PSU,0.012,Oil Refinery Zone,Very High,Ecological,Very High,0.94,M. D. D. Rodriguez et al.
Batangas Bay – Station 5 (San Isidro),13.72,121.06,0.52,Fragment,0.95,Polyethylene,8.1,34 PSU,0.009,"Fishing, Residential",Medium,Ecological,Moderate,0.65,M. D. D. Rodriguez et al.
Batangas Bay – Station 6 (Pallocan),13.76,121.08,0.48,Film,0.93,Polypropylene,8.1,34 PSU,0.011,Urban Runoff,High,Ecological,High,0.83,M. D. D. Rodriguez et al.
Batangas Bay – Offshore Station,13.7,121.1,0.35,Fragment,0.91,"Polyethylene, PET",8,35 PSU,0.007,Marine Traffic,Medium,Ecological,Moderate,0.7,M. D. D. Rodriguez et al.
Batangas Bay – Nearshore Sediment,13.74,121.06,0.55,Fiber,1.12,"Nylon, Rayon",8,34 PSU,0.015,Mixed Urban-Industrial,High,Ecological,High,0.86,M. D. D. Rodriguez et al.
Batangas Bay – Tabangao Refinery Outlet,13.73,121.08,0.42,Film,0.92,Polypropylene,8.1,34 PSU,0.016,Industrial Effluent,Very High,Ecological,Very High,0.96,M. D. D. Rodriguez et al.
Batangas Bay – Overall Mean (All Stations),13.74,121.06,0.46,Mixed,0.94,"PE, PP, Nylon",8,34 PSU,0.011,Mixed Activities,High,Ecological,High,0.85,M. D. D. Rodriguez et al.
Meycauayan Downstream (Tawiran Bridge),14.7477,120.9106,10–50,"Fragment, Foam",0.02–0.04 g/cm³,"EPS, POsoft, Other",7.1,25 ppt,"30,000 items/h (~8.3/L)","Metal smelting, tannery",High,Ecological,High,0.85,van Emmerik et al.
Meycauayan Upstream (Marilao Bridge),14.7712,120.9589,10–40,Fragment,0.9 g/cm³,"Multilayer, POsoft",7,18 ppt,"3,000 items/h (~0.8/L)",Industrial corridor,Medium,Ecological,Moderate,0.65,van Emmerik et al.
Tullahan Downstream (Malabon Bridge),14.6598,120.9554,10–50,"Film, Fragment",0.92 g/cm³,"POsoft, Multilayer",7.2,20 ppt,"1,000 items/h (~0.3/L)","Manufacturing, port",High,Ecological,Moderate,0.6,van Emmerik et al.
Tullahan Upstream (Tullahan Bridge),14.6849,121.0009,10–40,Film,0.90 g/cm³,"POsoft, Multilayer",7.3,15 ppt,"1,200 items/h (~0.33/L)",Urban,High,Ecological,Moderate,0.55,van Emmerik et al.
Pasig Downstream (William A. Jones Bridge),14.5958,120.9772,10–40,"Film, Fragment",0.91 g/cm³,"POsoft, Multilayer",7.4,25 ppt,"7,000 items/h (~1.9/L)",Mixed commercial,Very High,Ecological,High,0.8,van Emmerik et al.
Pasig Upstream (Lambingan Bridge),14.5864,121.0199,10–30,"Film, Fragment",0.92 g/cm³,Multilayer,7.2,20 ppt,"2,000 items/h (~0.55/L)",Residential,Very High,Ecological,Moderate,0.65,van Emmerik et al.
Manila Bay Estuary (aggregate),14.6,120.9,10–50,"Film, Foam",0.02–0.95 g/cm³,"EPS, POsoft",7.5,30 ppt,— (retained),Mixed industries,Very High,Ecological,High,0.75,van Emmerik et al.
Meycauayan Estuary (tidal zone),14.74,120.94,10–60,Foam,0.03 g/cm³,EPS,7,26 ppt,Retained temporarily,"Tannery, recycling",High,Ecological,High,0.8,van Emmerik et al.
Tullahan Estuary (tidal zone),14.65,120.96,10–50,Film,0.9 g/cm³,POsoft,7.1,25 ppt,Retained,Industrial & domestic,High,Ecological,Moderate,0.65,van Emmerik et al.
Pasig Estuary (tidal zone),14.59,120.98,10–40,"Fragment, Film",0.9 g/cm³,"POsoft, Multilayer",7.3,27 ppt,Retained (fluctuating with tide),Dense commercial,Very High,Ecological,High,0.78,van Emmerik et al.
"Magay Public Market, Zamboanga City",6.9045,122.0744,0.008–5.0,Filamentous,1.14,"Nylon, Polyester",8.1,33 PSU,51.97 MPs/sample ? 1.48 MPs/L,Urban Commercial,Very High,Ecological,High,0.85,J.S. Mejos et al.
"Rio Hondo Coast, Zamboanga City",6.9008,122.0822,0.008–5.0,"Filamentous, Fragment",0.95–1.14,"PE, PP, Nylon",8.1,33 PSU,19.29 MPs/sample ? 0.55 MPs/L,"Fishing, Port Activity",High,Ecological,Moderate,0.68,J.S. Mejos et al.
Magay Market – Rabbitfish (Mean),6.9045,122.0744,0.008–5.0,Filamentous (Blue),1.14,Nylon,8.1,33 PSU,51.97 ± 19.03 MPs/sample,Domestic Wastewater,Very High,Ecological,High,0.84,J.S. Mejos et al.
Magay Market – Parrotfish (Mean),6.9045,122.0744,0.008–5.0,Filamentous (Red),1.1,Polyester,8.1,33 PSU,19.29 ± 11.27 MPs/sample,Coastal Runoff,High,Ecological,Moderate,0.7,J.S. Mejos et al.
Zamboanga Coastal Waters (Rabbitfish Habitat),6.91,122.08,0.01–5.0,"Filamentous, Fragment",0.95,"PE, PP",8,33 PSU,1.50 MPs/L,Urban & Household Discharge,Very High,Ecological,High,0.88,J.S. Mejos et al.
Zamboanga Coastal Waters (Parrotfish Habitat),6.91,122.08,0.01–5.0,"Filamentous, Angular",0.93,"PP, Polyester",8,33 PSU,0.55 MPs/L,Urban,High,Ecological,Moderate,0.72,J.S. Mejos et al.
ZSCMST Laboratory Blanks (Control),6.9008,122.0822,—,—,—,None detected,—,—,0,Laboratory Control,—,—,Low,0.1,J.S. Mejos et al.
Rabbitfish (Blue Filament),6.9045,122.0744,0.008–5.0,Filamentous,1.14,"Nylon, Textile Fibers",8.1,33 PSU,21.51 MPs/sample ? 0.61 MPs/L,Domestic Waste,High,Ecological,High,0.83,J.S. Mejos et al.
Parrotfish (Red Filament),6.9045,122.0744,0.008–5.0,Filamentous,1.1,"Polyester, Textile Fibers",8.1,33 PSU,8.23 MPs/sample ? 0.23 MPs/L,Textile Runoff,Medium,Ecological,Moderate,0.67,J.S. Mejos et al.
Zamboanga Bay (Aggregate Estimate),6.9,122.08,0.008–5.0,"Filamentous, Fragment, Angular",0.93–1.14,"Mixed (PE, PP, Nylon, Polyester)",8,33 PSU,1.02 MPs/L (mean),Mixed Urban–Marine,Very High,Ecological,High,0.82,J.S. Mejos et al.
Baybay City – Barangay Candadam,10.65,124.833,0.5–1.5,Fiber,1.14,"PETE, PP",8.1,33 PSU,216.67,"Fishing, Urban Waste",High,Ecological,Very High,0.95,A.S.A. Helal et al.
